# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 536  of event 'cpu-clock'
# Event count (approx.): 5414141360
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
    15.30%  queue0:src       libc.so.6                     [.] 0x000000000009ddd4
    12.13%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     7.65%  mppjpegenc0:src  [kernel.kallsyms]             [k] __arch_copy_from_user
     4.85%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_inval_poc
     3.73%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_map
     3.54%  queue0:src       libc.so.6                     [.] 0x000000000009ddc8
     3.17%  queue0:src       libc.so.6                     [.] 0x000000000009ddc4
     2.99%  queue0:src       libc.so.6                     [.] 0x000000000009ddcc
     2.05%  queue0:src       [kernel.kallsyms]             [k] __pi_clear_page
     1.49%  python3          libpython3.11.so.1.0          [.] _PyEval_EvalFrameDefault
     1.49%  queue0:src       [kernel.kallsyms]             [k] __get_locked_pte
     1.49%  queue0:src       [kernel.kallsyms]             [k] follow_pmd_mask
     1.31%  queue0:src       [kernel.kallsyms]             [k] insert_page_into_pte_locked.isra.0
     1.12%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4b4
     0.93%  queue0:src       libc.so.6                     [.] 0x000000000009ddc0
     0.75%  queue0:src       [kernel.kallsyms]             [k] check_new_pages
     0.75%  queue0:src       [kernel.kallsyms]             [k] sg_alloc_append_table_from_pages
     0.75%  queue0:src       [kernel.kallsyms]             [k] try_grab_page
     0.75%  queue0:src       [kernel.kallsyms]             [k] unmap_page_range
     0.75%  queue0:src       libc.so.6                     [.] 0x000000000009dddc
     0.56%  python3          libc.so.6                     [.] 0x000000000009ddd4
     0.56%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4ac
     0.56%  queue0:src       [kernel.kallsyms]             [k] __get_user_pages
     0.56%  queue0:src       [kernel.kallsyms]             [k] __mod_node_page_state
     0.56%  queue0:src       [kernel.kallsyms]             [k] finish_wait
     0.56%  queue0:src       [kernel.kallsyms]             [k] free_swap_cache
     0.56%  queue0:src       [kernel.kallsyms]             [k] vm_normal_page
     0.37%  mpp_mjpege_201   [kernel.kallsyms]             [k] __fget_light
     0.37%  mpp_mjpege_201   librockchip_mpp.so.0          [.] jpege_bits_put
     0.37%  mppjpegenc0:src  [kernel.kallsyms]             [k] unmap_page_range
     0.37%  python3          [kernel.kallsyms]             [k] __arch_copy_from_user
     0.37%  python3          libpython3.11.so.1.0          [.] _PyType_Lookup
     0.37%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4a4
     0.37%  queue0:src       [kernel.kallsyms]             [k] __iommu_map_sg
     0.37%  queue0:src       [kernel.kallsyms]             [k] __rpm_callback
     0.37%  queue0:src       [kernel.kallsyms]             [k] __tlb_remove_page_size
     0.37%  queue0:src       [kernel.kallsyms]             [k] __vm_map_pages
     0.37%  queue0:src       [kernel.kallsyms]             [k] folio_mark_accessed
     0.37%  queue0:src       [kernel.kallsyms]             [k] futex_wake
     0.37%  queue0:src       [kernel.kallsyms]             [k] page_add_file_rmap
     0.37%  queue0:src       [kernel.kallsyms]             [k] release_pages
     0.37%  queue0:src       [kernel.kallsyms]             [k] rga2_set_reg
     0.37%  queue0:src       [kernel.kallsyms]             [k] vm_insert_page
     0.37%  queue0:src       libc.so.6                     [.] __libc_calloc
     0.37%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_signal_emit_valist
     0.19%  mpp_mjpege_201   [kernel.kallsyms]             [k] __iommu_map_sg
     0.19%  mpp_mjpege_201   [kernel.kallsyms]             [k] __kmem_cache_free
     0.19%  mpp_mjpege_201   [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     0.19%  mpp_mjpege_201   [kernel.kallsyms]             [k] arch_local_irq_enable
     0.19%  mpp_mjpege_201   librockchip_mpp.so.0          [.] mpp_enc_thread
     0.19%  mpp_mjpege_201   librockchip_mpp.so.0          [.] mpp_stopwatch_record
     0.19%  mpp_mjpege_201   librockchip_mpp.so.0          [.] mpp_task_meta_set_packet
     0.19%  mpp_mjpege_201   librockchip_mpp.so.0          [.] mpp_trie_get_info
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] __slab_free
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] arch_local_irq_enable
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] destroy_buf_queue
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] do_mmap
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] expand_files
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] get_page_from_freelist
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] hrtimer_start_range_ns
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] kernfs_drain
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] kernfs_find_ns
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] mas_is_span_wr
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] remove_wait_queue
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] tlb_flush
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] try_to_wake_up
     0.19%  mppjpegenc0:src  [kernel.kallsyms]             [k] vm_normal_page
     0.19%  mppjpegenc0:src  libglib-2.0.so.0.7600.1       [.] g_mutex_clear
     0.19%  mppjpegenc0:src  libglib-2.0.so.0.7600.1       [.] pthread_mutex_unlock@plt
     0.19%  mppjpegenc0:src  libgstcoreelements.so         [.] 0x0000000000019d40
     0.19%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0  [.] gst_segment_to_stream_time_full
     0.19%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000d6b60
     0.19%  mppjpegenc0:src  libgstrockchipmpp.so          [.] mpp_meta_get_frame@plt
     0.19%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_frame_init
     0.19%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_frame_set_stopwatch_enable
     0.19%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_mem_pool_get
     0.19%  python3          [kernel.kallsyms]             [k] __arch_copy_to_user
     0.19%  python3          [kernel.kallsyms]             [k] __local_bh_enable_ip
     0.19%  python3          [kernel.kallsyms]             [k] __mod_timer
     0.19%  python3          [kernel.kallsyms]             [k] __rseq_handle_notify_resume
     0.19%  python3          [kernel.kallsyms]             [k] __wake_up_common_lock
     0.19%  python3          [kernel.kallsyms]             [k] _copy_to_iter
     0.19%  python3          [kernel.kallsyms]             [k] down_read
     0.19%  python3          [kernel.kallsyms]             [k] eth_type_trans
     0.19%  python3          [kernel.kallsyms]             [k] free_compound_page
     0.19%  python3          [kernel.kallsyms]             [k] lock_mm_and_find_vma
     0.19%  python3          libc.so.6                     [.] sem_trywait
     0.19%  python3          libc.so.6                     [.] 0x000000000008f910
     0.19%  python3          libc.so.6                     [.] 0x000000000009ddc4
     0.19%  python3          libpython3.11.so.1.0          [.] PyArg_ParseTuple@plt
     0.19%  python3          libpython3.11.so.1.0          [.] PyBuffer_Release
     0.19%  python3          libpython3.11.so.1.0          [.] PyMethod_New
     0.19%  python3          libpython3.11.so.1.0          [.] PyObject_GetAttr
     0.19%  python3          libpython3.11.so.1.0          [.] PySlice_Unpack@plt
     0.19%  python3          libpython3.11.so.1.0          [.] _PyObject_GetMethod
     0.19%  python3          libpython3.11.so.1.0          [.] _PyObject_LookupSpecial
     0.19%  python3          libpython3.11.so.1.0          [.] _Py_Dealloc@plt
     0.19%  python3          libpython3.11.so.1.0          [.] _Py_NewReference
     0.19%  python3          libpython3.11.so.1.0          [.] 0x0000000000139338
     0.19%  python3          libpython3.11.so.1.0          [.] 0x000000000013d570
     0.19%  python3          libpython3.11.so.1.0          [.] 0x00000000001698dc
     0.19%  python3          libpython3.11.so.1.0          [.] 0x00000000001a6078
     0.19%  python3          libpython3.11.so.1.0          [.] 0x000000000021f790
     0.19%  python3          libpython3.11.so.1.0          [.] 0x00000000002212d0
     0.19%  python3          libpython3.11.so.1.0          [.] 0x000000000024088c
     0.19%  python3          libpython3.11.so.1.0          [.] 0x0000000000257f00
     0.19%  python3          libpython3.11.so.1.0          [.] 0x0000000000292d70
     0.19%  python3          libpython3.11.so.1.0          [.] 0x00000000002cbe50
     0.19%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4b0
     0.19%  queue0:src       [kernel.kallsyms]             [k] ___slab_alloc
     0.19%  queue0:src       [kernel.kallsyms]             [k] __radix_tree_replace
     0.19%  queue0:src       [kernel.kallsyms]             [k] __rb_insert_augmented
     0.19%  queue0:src       [kernel.kallsyms]             [k] __schedule
     0.19%  queue0:src       [kernel.kallsyms]             [k] arch_local_irq_restore
     0.19%  queue0:src       [kernel.kallsyms]             [k] arch_local_irq_save
     0.19%  queue0:src       [kernel.kallsyms]             [k] clk_prepare
     0.19%  queue0:src       [kernel.kallsyms]             [k] dma_direct_unmap_sg
     0.19%  queue0:src       [kernel.kallsyms]             [k] fpsimd_restore_current_state
     0.19%  queue0:src       [kernel.kallsyms]             [k] free_pages_and_swap_cache
     0.19%  queue0:src       [kernel.kallsyms]             [k] get_page_from_freelist
     0.19%  queue0:src       [kernel.kallsyms]             [k] inode_init_always
     0.19%  queue0:src       [kernel.kallsyms]             [k] iommu_dma_map_sg
     0.19%  queue0:src       [kernel.kallsyms]             [k] kmem_cache_free
     0.19%  queue0:src       [kernel.kallsyms]             [k] mark_page_accessed
     0.19%  queue0:src       [kernel.kallsyms]             [k] mas_walk
     0.19%  queue0:src       [kernel.kallsyms]             [k] mas_wr_store_entry.isra.0
     0.19%  queue0:src       [kernel.kallsyms]             [k] mntget
     0.19%  queue0:src       [kernel.kallsyms]             [k] mtree_range_walk
     0.19%  queue0:src       [kernel.kallsyms]             [k] page_remove_rmap
     0.19%  queue0:src       [kernel.kallsyms]             [k] pm_relax
     0.19%  queue0:src       [kernel.kallsyms]             [k] rga2_init_reg
     0.19%  queue0:src       [kernel.kallsyms]             [k] rga_job_commit
     0.19%  queue0:src       [kernel.kallsyms]             [k] rga_job_next
     0.19%  queue0:src       [kernel.kallsyms]             [k] rga_request_kref_release
     0.19%  queue0:src       [kernel.kallsyms]             [k] rga_request_put
     0.19%  queue0:src       [kernel.kallsyms]             [k] strlcpy
     0.19%  queue0:src       [kernel.kallsyms]             [k] strlen
     0.19%  queue0:src       [kernel.kallsyms]             [k] sysfs_add_file_mode_ns
     0.19%  queue0:src       [kernel.kallsyms]             [k] timer_delete_sync
     0.19%  queue0:src       [kernel.kallsyms]             [k] tlb_flush
     0.19%  queue0:src       [kernel.kallsyms]             [k] unlink_anon_vmas
     0.19%  queue0:src       [kernel.kallsyms]             [k] validate_page_before_insert
     0.19%  queue0:src       [kernel.kallsyms]             [k] vb2_core_qbuf
     0.19%  queue0:src       [kernel.kallsyms]             [k] vsnprintf
     0.19%  queue0:src       libc.so.6                     [.] 0x0000000000078990
     0.19%  queue0:src       libc.so.6                     [.] 0x0000000000091c70
     0.19%  queue0:src       libc.so.6                     [.] 0x0000000000092528
     0.19%  queue0:src       libc.so.6                     [.] 0x00000000000927a0
     0.19%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_mutex_lock@plt
     0.19%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_mutex_unlock@plt
     0.19%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_object_unref
     0.19%  queue0:src       libgobject-2.0.so.0.7600.1    [.] g_type_check_instance_is_fundamentally_a
     0.19%  queue0:src       libgobject-2.0.so.0.7600.1    [.] 0x00000000000195f8
     0.19%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_memory_unmap
     0.19%  queue0:src       libgstrockchipmpp.so          [.] memset@plt
     0.19%  queue0:src       libgstrockchipmpp.so          [.] 0x0000000000008940
     0.19%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] 0x0000000000039c98
     0.19%  queue0:src       libgstvideo4linux2.so         [.] gst_buffer_pool_acquire_buffer@plt
     0.19%  queue0:src       librga.so.2.1.0               [.] _Z16get_int_propertyv
     0.19%  v4l2src0:src     [kernel.kallsyms]             [k] add_wait_queue
     0.19%  v4l2src0:src     [kernel.kallsyms]             [k] arch_local_irq_restore
     0.19%  v4l2src0:src     [kernel.kallsyms]             [k] remove_wait_queue
     0.19%  v4l2src0:src     [kernel.kallsyms]             [k] unix_poll
     0.19%  v4l2src0:src     [kernel.kallsyms]             [k] vb2_poll
     0.19%  v4l2src0:src     libgstbase-1.0.so.0.2411.0    [.] 0x000000000003f910


#
# (Cannot load tips.txt file, please install perf!)
#
