# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 663  of event 'cpu-clock'
# Event count (approx.): 6696969630
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
    15.38%  queue0:src       libc.so.6                     [.] 0x000000000009ddd4
    11.76%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     9.65%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_map
     7.54%  python3          libpython3.11.so.1.0          [.] _PyEval_EvalFrameDefault
     7.09%  mppjpegenc0:src  [kernel.kallsyms]             [k] __arch_copy_from_user
     3.47%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_inval_poc
     2.71%  queue0:src       libc.so.6                     [.] 0x000000000009ddc8
     2.26%  queue0:src       libc.so.6                     [.] 0x000000000009ddc4
     1.51%  queue0:src       libc.so.6                     [.] 0x000000000009ddcc
     1.21%  queue0:src       [kernel.kallsyms]             [k] follow_pmd_mask
     0.75%  queue0:src       [kernel.kallsyms]             [k] __get_locked_pte
     0.75%  queue0:src       [kernel.kallsyms]             [k] __pi_clear_page
     0.75%  queue0:src       [kernel.kallsyms]             [k] page_remove_rmap
     0.60%  queue0:src       [kernel.kallsyms]             [k] __get_user_pages
     0.60%  queue0:src       [kernel.kallsyms]             [k] __mod_node_page_state
     0.60%  queue0:src       [kernel.kallsyms]             [k] insert_page_into_pte_locked.isra.0
     0.60%  queue0:src       [kernel.kallsyms]             [k] try_grab_page
     0.60%  queue0:src       [kernel.kallsyms]             [k] vm_insert_page
     0.45%  mpp_mjpege_199   librockchip_mpp.so.0          [.] jpege_bits_put
     0.45%  python3          [kernel.kallsyms]             [k] __arch_copy_from_user
     0.45%  python3          libpython3.11.so.1.0          [.] PyLong_FromSsize_t
     0.45%  python3          libpython3.11.so.1.0          [.] PyObject_Malloc
     0.45%  python3          libpython3.11.so.1.0          [.] _PyEval_SliceIndex
     0.45%  python3          libpython3.11.so.1.0          [.] _Py_NewReference
     0.45%  queue0:src       [kernel.kallsyms]             [k] __cond_resched
     0.45%  queue0:src       [kernel.kallsyms]             [k] __tlb_remove_page_size
     0.45%  queue0:src       [kernel.kallsyms]             [k] sg_alloc_append_table_from_pages
     0.45%  queue0:src       [kernel.kallsyms]             [k] vm_normal_page
     0.30%  mppjpegenc0:src  [kernel.kallsyms]             [k] __mark_inode_dirty
     0.30%  python3          libc.so.6                     [.] 0x000000000009d7b8
     0.30%  python3          libc.so.6                     [.] 0x000000000009ddc8
     0.30%  python3          libpython3.11.so.1.0          [.] PyLong_AsSsize_t
     0.30%  python3          libpython3.11.so.1.0          [.] PyObject_CheckBuffer
     0.30%  python3          libpython3.11.so.1.0          [.] PyObject_IsTrue
     0.30%  python3          libpython3.11.so.1.0          [.] PyObject_Vectorcall
     0.30%  python3          libpython3.11.so.1.0          [.] _PyTrash_cond
     0.30%  python3          libpython3.11.so.1.0          [.] 0x000000000023ed00
     0.30%  queue0:src       [kernel.kallsyms]             [k] __iommu_map_sg
     0.30%  queue0:src       [kernel.kallsyms]             [k] __vm_map_pages
     0.30%  queue0:src       [kernel.kallsyms]             [k] free_swap_cache
     0.30%  queue0:src       [kernel.kallsyms]             [k] release_pages
     0.30%  queue0:src       [kernel.kallsyms]             [k] unmap_page_range
     0.15%  mpp_mjpege_199   [kernel.kallsyms]             [k] __cond_resched
     0.15%  mpp_mjpege_199   [kernel.kallsyms]             [k] arch_local_irq_enable
     0.15%  mpp_mjpege_199   [kernel.kallsyms]             [k] futex_wake
     0.15%  mpp_mjpege_199   [kernel.kallsyms]             [k] iommu_dma_map_sg
     0.15%  mpp_mjpege_199   [kernel.kallsyms]             [k] mpp_dma_release_buffer
     0.15%  mpp_mjpege_199   libc.so.6                     [.] pthread_cond_signal
     0.15%  mpp_mjpege_199   librockchip_mpp.so.0          [.] jpege_seek_bits
     0.15%  mpp_mjpege_199   librockchip_mpp.so.0          [.] mpp_enc_thread
     0.15%  mpp_mjpege_199   librockchip_mpp.so.0          [.] rc_model_v2_start
     0.15%  mpp_mjpege_199   librockchip_mpp.so.0          [.] write_jpeg_RestartInterval
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] __alloc_pages
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] __fput
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] __get_task_ioprio
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] __run_timers.part.0
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] arch_local_irq_restore
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] do_writev
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] down_write_killable
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] mas_destroy
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] mmap_region
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] tlb_flush
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] vm_normal_page
     0.15%  mppjpegenc0:src  libc.so.6                     [.] pthread_mutex_lock
     0.15%  mppjpegenc0:src  libgstbase-1.0.so.0.2411.0    [.] gst_base_sink_do_preroll
     0.15%  mppjpegenc0:src  libgstbase-1.0.so.0.2411.0    [.] 0x00000000000329c0
     0.15%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0  [.] gst_memory_init
     0.15%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0  [.] 0x000000000004e6e0
     0.15%  mppjpegenc0:src  libgstvideo-1.0.so.0.2411.0   [.] gst_video_codec_frame_unref
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0          [.] _ZN3Mpp11set_io_modeE11MppIOMode_e
     0.15%  python3          [kernel.kallsyms]             [k] __kmem_cache_free
     0.15%  python3          [kernel.kallsyms]             [k] arch_local_irq_restore
     0.15%  python3          [kernel.kallsyms]             [k] arch_local_irq_restore
     0.15%  python3          [kernel.kallsyms]             [k] enqueue_to_backlog
     0.15%  python3          [kernel.kallsyms]             [k] free_unref_page
     0.15%  python3          [kernel.kallsyms]             [k] netif_rx_internal
     0.15%  python3          [kernel.kallsyms]             [k] nf_hook_slow
     0.15%  python3          [kernel.kallsyms]             [k] tcp_event_new_data_sent
     0.15%  python3          [kernel.kallsyms]             [k] tcp_parse_aligned_timestamp.part.0
     0.15%  python3          [kernel.kallsyms]             [k] tcp_poll
     0.15%  python3          [kernel.kallsyms]             [k] tcp_write_xmit
     0.15%  python3          libc.so.6                     [.] strncpy
     0.15%  python3          libc.so.6                     [.] 0x000000000009d788
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7a4
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7b4
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7c8
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7cc
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddc4
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddcc
     0.15%  python3          libpython3.11.so.1.0          [.] PyBuffer_FillInfo@plt
     0.15%  python3          libpython3.11.so.1.0          [.] PyBytes_FromStringAndSize
