# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 701  of event 'cpu-clock'
# Event count (approx.): 7080808010
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  ............................................................
#
    13.41%  queue0:src       libc.so.6                         [.] 0x000000000009ddd4
    10.98%  queue0:src       [kernel.kallsyms]                 [k] rk_iommu_map
    10.27%  queue0:src       [kernel.kallsyms]                 [k] __pi_dcache_clean_poc
     6.85%  python3          libpython3.11.so.1.0              [.] _PyEval_EvalFrameDefault
     5.28%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __arch_copy_from_user
     3.00%  queue0:src       [kernel.kallsyms]                 [k] __pi_dcache_inval_poc
     3.00%  queue0:src       libc.so.6                         [.] 0x000000000009ddc8
     2.57%  queue0:src       libc.so.6                         [.] 0x000000000009ddcc
     1.85%  queue0:src       libc.so.6                         [.] 0x000000000009ddc4
     1.43%  queue0:src       [kernel.kallsyms]                 [k] __get_locked_pte
     1.43%  queue0:src       [kernel.kallsyms]                 [k] follow_pmd_mask
     0.86%  python3          libpython3.11.so.1.0              [.] _Py_NewReference
     0.71%  queue0:src       [kernel.kallsyms]                 [k] __get_user_pages
     0.71%  queue0:src       [kernel.kallsyms]                 [k] insert_page_into_pte_locked.isra.0
     0.71%  queue0:src       [kernel.kallsyms]                 [k] unmap_page_range
     0.57%  queue0:src       [kernel.kallsyms]                 [k] __mod_node_page_state
     0.57%  queue0:src       [kernel.kallsyms]                 [k] __pi_clear_page
     0.57%  queue0:src       [kernel.kallsyms]                 [k] try_grab_page
     0.57%  queue0:src       libc.so.6                         [.] 0x000000000009dddc
     0.43%  mpp_mjpege_806   librockchip_mpp.so.0              [.] jpege_bits_put
     0.43%  mppjpegenc0:src  [kernel.kallsyms]                 [k] remap_pfn_range_internal
     0.43%  python3          libpython3.11.so.1.0              [.] PyObject_Malloc
     0.43%  queue0:src       [kernel.kallsyms]                 [k] __vm_map_pages
     0.43%  queue0:src       [kernel.kallsyms]                 [k] folio_mark_accessed
     0.43%  queue0:src       [kernel.kallsyms]                 [k] free_swap_cache
     0.29%  mpp_mjpege_806   [kernel.kallsyms]                 [k] rkvenc_alloc_task
     0.29%  mppjpegenc0:src  [kernel.kallsyms]                 [k] unmap_page_range
     0.29%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] gst_object_unref
     0.29%  python3          [kernel.kallsyms]                 [k] __arch_copy_from_user
     0.29%  python3          libpython3.11.so.1.0              [.] PyLong_AsSsize_t
     0.29%  python3          libpython3.11.so.1.0              [.] PyNumber_AsSsize_t
     0.29%  python3          libpython3.11.so.1.0              [.] PyNumber_AsSsize_t@plt
     0.29%  python3          libpython3.11.so.1.0              [.] PyObject_GetItem
     0.29%  python3          libpython3.11.so.1.0              [.] _PyEval_SliceIndex
     0.29%  python3          libpython3.11.so.1.0              [.] _PyLong_New
     0.29%  python3          libpython3.11.so.1.0              [.] 0x000000000017f3e4
     0.29%  python3          libpython3.11.so.1.0              [.] 0x000000000019a484
     0.29%  python3          libpython3.11.so.1.0              [.] 0x00000000002406c8
     0.29%  queue0:src       [kernel.kallsyms]                 [k] __vm_munmap
     0.29%  queue0:src       [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.29%  queue0:src       [kernel.kallsyms]                 [k] mark_page_accessed
     0.29%  queue0:src       [kernel.kallsyms]                 [k] release_pages
     0.29%  queue0:src       librga.so.2.1.0                   [.] _Z13is_rgb_formati
     0.14%  mpp_mjpege_806   [kernel.kallsyms]                 [k] __finalise_sg.isra.0
     0.14%  mpp_mjpege_806   [kernel.kallsyms]                 [k] __iommu_map
     0.14%  mpp_mjpege_806   [kernel.kallsyms]                 [k] kfree
     0.14%  mpp_mjpege_806   librockchip_mpp.so.0              [.] bits_model_alloc
     0.14%  mpp_mjpege_806   librockchip_mpp.so.0              [.] mpp_data_get_pre_val_v2@plt
     0.14%  mpp_mjpege_806   librockchip_mpp.so.0              [.] mpp_meta_set_frame@plt
     0.14%  mpp_mjpege_806   librockchip_mpp.so.0              [.] 0x00000000000f3840
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __free_pages_ok
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __kmem_cache_free
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __slab_free
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] arch_get_unmapped_area_topdown
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] chksum_update
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] dmabuffs_dname
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] ext4_dirty_inode
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] ext4_file_write_iter
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] filp_close
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] free_unref_page
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] get_futex_key
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] inode_wait_for_writeback
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] kernfs_remove
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] mmap_region
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] perf_event_mmap
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] schedule
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] system_heap_mmap
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] tlb_finish_mmu
     0.14%  mppjpegenc0:src  [kernel.kallsyms]                 [k] vma_close
     0.14%  mppjpegenc0:src  libc.so.6                         [.] pthread_cond_signal
     0.14%  mppjpegenc0:src  libc.so.6                         [.] strchrnul
     0.14%  mppjpegenc0:src  libc.so.6                         [.] 0x00000000000807f0
     0.14%  mppjpegenc0:src  libc.so.6                         [.] 0x000000000008280c
     0.14%  mppjpegenc0:src  libc.so.6                         [.] 0x0000000000087f4c
     0.14%  mppjpegenc0:src  libc.so.6                         [.] 0x0000000000090d40
     0.14%  mppjpegenc0:src  libc.so.6                         [.] 0x00000000000929f4
     0.14%  mppjpegenc0:src  libc.so.6                         [.] 0x000000000012eeb4
     0.14%  mppjpegenc0:src  libglib-2.0.so.0.7600.1           [.] g_pointer_bit_lock
     0.14%  mppjpegenc0:src  libglib-2.0.so.0.7600.1           [.] g_realloc
     0.14%  mppjpegenc0:src  libgobject-2.0.so.0.7600.1        [.] g_type_check_value
     0.14%  mppjpegenc0:src  libgstcoreelements.so             [.] gst_memory_map@plt
     0.14%  mppjpegenc0:src  libgstcoretracers.so              [.] 0x0000000000005330
     0.14%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000b4124
     0.14%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000d62c4
     0.14%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_buffer_sync_partial_begin_f
     0.14%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_enc_notify_v2
     0.14%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_meta_get_frame@plt
     0.14%  python3          [kernel.kallsyms]                 [k] __fget_light
     0.14%  python3          [kernel.kallsyms]                 [k] __local_bh_enable_ip
     0.14%  python3          [kernel.kallsyms]                 [k] __mod_timer
     0.14%  python3          [kernel.kallsyms]                 [k] __wake_up_common_lock
     0.14%  python3          [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.14%  python3          [kernel.kallsyms]                 [k] futex_wake_mark
     0.14%  python3          [kernel.kallsyms]                 [k] get_page_from_freelist
     0.14%  python3          [kernel.kallsyms]                 [k] handle_softirqs
     0.14%  python3          [kernel.kallsyms]                 [k] ip_finish_output2
     0.14%  python3          [kernel.kallsyms]                 [k] ipt_do_table
     0.14%  python3          [kernel.kallsyms]                 [k] kfree
     0.14%  python3          [kernel.kallsyms]                 [k] kmalloc_size_roundup
     0.14%  python3          [kernel.kallsyms]                 [k] skb_page_frag_refill
     0.14%  python3          libc.so.6                         [.] __errno_location
     0.14%  python3          libc.so.6                         [.] _pthread_cleanup_push
     0.14%  python3          libc.so.6                         [.] pthread_mutex_lock
     0.14%  python3          libc.so.6                         [.] 0x000000000008b8ac
     0.14%  python3          libc.so.6                         [.] 0x000000000009d7a4
     0.14%  python3          libc.so.6                         [.] 0x000000000009d7b0
     0.14%  python3          libc.so.6                         [.] 0x000000000009dcc0
     0.14%  python3          libc.so.6                         [.] 0x000000000009ddc0
     0.14%  python3          libc.so.6                         [.] 0x000000000009ddc8
     0.14%  python3          libc.so.6                         [.] 0x000000000009ddd4
     0.14%  python3          libc.so.6                         [.] 0x000000000009dddc
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_FillInfo
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_FillInfo@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_IsContiguous
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_Release
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_ToContiguous@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyByteArray_FromStringAndSize
     0.14%  python3          libpython3.11.so.1.0              [.] PyDict_GetItemWithError
     0.14%  python3          libpython3.11.so.1.0              [.] PyLong_FromSsize_t
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_Free@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_GC_UnTrack
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_GetBuffer@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_IsTrue
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_Size
     0.14%  python3          libpython3.11.so.1.0              [.] PyThreadState_Get@plt
     0.14%  python3          libpython3.11.so.1.0              [.] _PyEval_SliceIndex@plt
     0.14%  python3          libpython3.11.so.1.0              [.] _PyNumber_Index
     0.14%  python3          libpython3.11.so.1.0              [.] _PyTrash_cond
     0.14%  python3          libpython3.11.so.1.0              [.] _PyType_Lookup
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013959c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001397c8
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013b00c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013b9e0
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013d56c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013d590
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000015b858
     0.14%  python3          libpython3.11.so.1.0              [.] 0x0000000000177b28
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000017f390
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000017f3d8
