# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 688  of event 'cpu-clock'
# Event count (approx.): 6949494880
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ......................................
#
    15.12%  queue0:src       libc.so.6                     [.] 0x000000000009ddd4
    10.76%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     8.87%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_map
     7.99%  python3          libpython3.11.so.1.0          [.] _PyEval_EvalFrameDefault
     5.67%  mppjpegenc0:src  [kernel.kallsyms]             [k] __arch_copy_from_user
     3.05%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_inval_poc
     2.18%  queue0:src       libc.so.6                     [.] 0x000000000009ddcc
     1.74%  queue0:src       libc.so.6                     [.] 0x000000000009ddc4
     1.60%  queue0:src       [kernel.kallsyms]             [k] follow_pmd_mask
     1.45%  queue0:src       [kernel.kallsyms]             [k] __pi_clear_page
     1.45%  queue0:src       libc.so.6                     [.] 0x000000000009ddc8
     0.73%  queue0:src       [kernel.kallsyms]             [k] unmap_page_range
     0.73%  queue0:src       [kernel.kallsyms]             [k] vm_normal_page
     0.58%  python3          libc.so.6                     [.] 0x000000000009ddd4
     0.58%  queue0:src       [kernel.kallsyms]             [k] __get_locked_pte
     0.58%  queue0:src       [kernel.kallsyms]             [k] __mod_node_page_state
     0.58%  queue0:src       [kernel.kallsyms]             [k] get_page_from_freelist
     0.58%  queue0:src       [kernel.kallsyms]             [k] try_grab_page
     0.58%  queue0:src       libc.so.6                     [.] 0x000000000009ddc0
     0.58%  queue0:src       libc.so.6                     [.] 0x000000000009dddc
     0.44%  python3          [kernel.kallsyms]             [k] __arch_copy_from_user
     0.44%  python3          libpython3.11.so.1.0          [.] _Py_NewReference
     0.44%  queue0:src       [kernel.kallsyms]             [k] __get_user_pages
     0.44%  queue0:src       [kernel.kallsyms]             [k] free_swap_cache
     0.44%  queue0:src       [kernel.kallsyms]             [k] insert_page_into_pte_locked.isra.0
     0.44%  queue0:src       [kernel.kallsyms]             [k] vm_insert_page
     0.44%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_poll_wait
     0.29%  mpp_mjpege_870   [kernel.kallsyms]             [k] arch_local_irq_enable
     0.29%  mpp_mjpege_870   librockchip_mpp.so.0          [.] jpege_bits_put
     0.29%  mppjpegenc0:src  [kernel.kallsyms]             [k] __rb_reserve_next
     0.29%  mppjpegenc0:src  libc.so.6                     [.] 0x0000000000091e40
     0.29%  python3          [kernel.kallsyms]             [k] pipe_read
     0.29%  python3          libpython3.11.so.1.0          [.] PyLong_AsSsize_t
     0.29%  python3          libpython3.11.so.1.0          [.] PyNumber_AsSsize_t
     0.29%  python3          libpython3.11.so.1.0          [.] PyObject_GetItem@plt
     0.29%  python3          libpython3.11.so.1.0          [.] _PyEval_SliceIndex
     0.29%  python3          libpython3.11.so.1.0          [.] 0x000000000019a4a4
     0.29%  python3          libpython3.11.so.1.0          [.] 0x00000000001a6030
     0.29%  python3          libpython3.11.so.1.0          [.] 0x0000000000240888
     0.29%  queue0:src       [kernel.kallsyms]             [k] __buf_prepare
     0.29%  queue0:src       [kernel.kallsyms]             [k] __cond_resched
     0.29%  queue0:src       [kernel.kallsyms]             [k] __iommu_map
     0.29%  queue0:src       [kernel.kallsyms]             [k] rcu_all_qs
     0.29%  queue0:src       [kernel.kallsyms]             [k] sg_alloc_append_table_from_pages
