# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 651  of event 'cpu-clock'
# Event count (approx.): 6575757510
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ......................................
#
    12.90%  queue0:src       libc.so.6                     [.] 0x000000000009ddd4
    10.45%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     9.98%  python3          libpython3.11.so.1.0          [.] _PyEval_EvalFrameDefault
     6.45%  mppjpegenc0:src  [kernel.kallsyms]             [k] __arch_copy_from_user
     5.99%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_map
     5.07%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_inval_poc
     3.07%  queue0:src       libc.so.6                     [.] 0x000000000009ddc8
     2.30%  queue0:src       libc.so.6                     [.] 0x000000000009ddc4
     2.15%  queue0:src       libc.so.6                     [.] 0x000000000009ddcc
     1.38%  queue0:src       [kernel.kallsyms]             [k] __get_locked_pte
     1.23%  queue0:src       [kernel.kallsyms]             [k] unmap_page_range
     0.92%  queue0:src       [kernel.kallsyms]             [k] try_grab_page
     0.77%  queue0:src       [kernel.kallsyms]             [k] page_add_file_rmap
     0.77%  queue0:src       libc.so.6                     [.] 0x000000000009dddc
     0.61%  queue0:src       [kernel.kallsyms]             [k] insert_page_into_pte_locked.isra.0
     0.46%  python3          [kernel.kallsyms]             [k] arch_local_irq_enable
     0.46%  python3          libc.so.6                     [.] 0x000000000009ddd4
     0.46%  queue0:src       [kernel.kallsyms]             [k] __get_user_pages
     0.46%  queue0:src       [kernel.kallsyms]             [k] __tlb_remove_page_size
     0.46%  queue0:src       [kernel.kallsyms]             [k] follow_pmd_mask
     0.46%  queue0:src       [kernel.kallsyms]             [k] rga_request_kref_release
     0.46%  queue0:src       [kernel.kallsyms]             [k] vm_insert_page
     0.46%  queue0:src       [kernel.kallsyms]             [k] vm_normal_page
     0.46%  queue0:src       libc.so.6                     [.] 0x000000000009ddc0
     0.31%  mppjpegenc0:src  [kernel.kallsyms]             [k] arch_local_irq_enable
     0.31%  python3          [kernel.kallsyms]             [k] __rseq_handle_notify_resume
     0.31%  python3          libc.so.6                     [.] 0x000000000009d7b8
     0.31%  python3          libc.so.6                     [.] 0x000000000009ddc8
     0.31%  python3          libpython3.11.so.1.0          [.] PyLong_FromSsize_t
     0.31%  python3          libpython3.11.so.1.0          [.] PyObject_GC_UnTrack
     0.31%  python3          libpython3.11.so.1.0          [.] PyObject_GetBuffer@plt
     0.31%  python3          libpython3.11.so.1.0          [.] PyObject_Malloc
     0.31%  python3          libpython3.11.so.1.0          [.] PyType_IsSubtype
     0.31%  python3          libpython3.11.so.1.0          [.] _PyLong_New
     0.31%  python3          libpython3.11.so.1.0          [.] _Py_NewReference
     0.31%  python3          libpython3.11.so.1.0          [.] memchr@plt
     0.31%  python3          libpython3.11.so.1.0          [.] 0x00000000001a6884
     0.31%  queue0:src       [kernel.kallsyms]             [k] __mod_node_page_state
     0.31%  queue0:src       [kernel.kallsyms]             [k] clk_enable_unlock
     0.31%  queue0:src       [kernel.kallsyms]             [k] free_swap_cache
     0.31%  queue0:src       [kernel.kallsyms]             [k] mark_page_accessed
     0.31%  queue0:src       [kernel.kallsyms]             [k] mas_wr_modify
     0.31%  queue0:src       [kernel.kallsyms]             [k] rcu_all_qs
     0.31%  queue0:src       [kernel.kallsyms]             [k] sg_alloc_append_table_from_pages
     0.31%  queue0:src       libc.so.6                     [.] pthread_mutex_lock
     0.15%  mpp_mjpege_828   [kernel.kallsyms]             [k] iommu_dma_sync_single_for_device
     0.15%  mpp_mjpege_828   [kernel.kallsyms]             [k] mpp_process_request
     0.15%  mpp_mjpege_828   [kernel.kallsyms]             [k] mpp_process_task_default
     0.15%  mpp_mjpege_828   [kernel.kallsyms]             [k] mpp_query_reg_offset_info
     0.15%  mpp_mjpege_828   [vdso]                        [.] __kernel_clock_gettime
     0.15%  mpp_mjpege_828   librockchip_mpp.so.0          [.] hal_jpege_vepu511_gen_regs
     0.15%  mpp_mjpege_828   librockchip_mpp.so.0          [.] mpp_frame_get_buffer
     0.15%  mpp_mjpege_828   librockchip_mpp.so.0          [.] mpp_writer_bytes@plt
     0.15%  mpp_mjpege_828   librockchip_mpp.so.0          [.] rc_frm_check_drop@plt
     0.15%  mpp_mjpege_828   librockchip_mpp.so.0          [.] vepu511_set_jpeg_reg
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] __crc32c_le
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] arch_local_irq_restore
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] copy_page_from_iter
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] dma_buf_ioctl
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] ext4_journal_check_start
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] inode_needs_update_time.part.0
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] invoke_syscall
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] mas_ascend
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] perf_iterate_sb
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] remap_pfn_range
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] remap_pfn_range_internal
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] system_heap_mmap
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] tlb_gather_mmu
     0.15%  mppjpegenc0:src  [kernel.kallsyms]             [k] unmap_page_range
     0.15%  mppjpegenc0:src  libc.so.6                     [.] pthread_cond_wait
     0.15%  mppjpegenc0:src  libc.so.6                     [.] pthread_mutex_lock
     0.15%  mppjpegenc0:src  libc.so.6                     [.] syscall
     0.15%  mppjpegenc0:src  libc.so.6                     [.] 0x000000000009e7a8
     0.15%  mppjpegenc0:src  libglib-2.0.so.0.7600.1       [.] g_hash_table_lookup
     0.15%  mppjpegenc0:src  libglib-2.0.so.0.7600.1       [.] g_thread_self
     0.15%  mppjpegenc0:src  libgstcoreelements.so         [.] gst_memory_unmap@plt
     0.15%  mppjpegenc0:src  libgstcoretracers.so          [.] 0x0000000000004c98
     0.15%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0  [.] memcpy@plt
     0.15%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0  [.] 0x000000000004d6b8
     0.15%  mppjpegenc0:src  libgstvideo-1.0.so.0.2411.0   [.] 0x00000000000375f0
     0.15%  mppjpegenc0:src  libgstvideo-1.0.so.0.2411.0   [.] 0x000000000003764c
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_frame_has_meta
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_frame_set_buffer
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_mem_pool_get
     0.15%  python3          [kernel.kallsyms]             [k] __arch_copy_from_user
     0.15%  python3          [kernel.kallsyms]             [k] hrtimer_try_to_cancel.part.0
     0.15%  python3          [kernel.kallsyms]             [k] ip_finish_output2
     0.15%  python3          [kernel.kallsyms]             [k] pipe_read
     0.15%  python3          [kernel.kallsyms]             [k] rebalance_domains
     0.15%  python3          [kernel.kallsyms]             [k] sock_poll
     0.15%  python3          [kernel.kallsyms]             [k] strlcpy
     0.15%  python3          libc.so.6                     [.] __poll
     0.15%  python3          libc.so.6                     [.] malloc
     0.15%  python3          libc.so.6                     [.] 0x0000000000090d6c
     0.15%  python3          libc.so.6                     [.] 0x000000000009d740
     0.15%  python3          libc.so.6                     [.] 0x000000000009d788
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7a8
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7b0
     0.15%  python3          libc.so.6                     [.] 0x000000000009dcc0
     0.15%  python3          libc.so.6                     [.] 0x000000000009dd20
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddc0
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddc4
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddcc
     0.15%  python3          libpython3.11.so.1.0          [.] PyBuffer_FillInfo
     0.15%  python3          libpython3.11.so.1.0          [.] PyNumber_AsSsize_t
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_CheckBuffer
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_GC_Del
     0.15%  python3          libpython3.11.so.1.0          [.] PyThreadState_Get@plt
     0.15%  python3          libpython3.11.so.1.0          [.] _PyArg_ParseTuple_SizeT
     0.15%  python3          libpython3.11.so.1.0          [.] _PyEval_SliceIndex
     0.15%  python3          libpython3.11.so.1.0          [.] _PyNumber_Index
     0.15%  python3          libpython3.11.so.1.0          [.] _PyObject_GetMethod
     0.15%  python3          libpython3.11.so.1.0          [.] _PyTime_AsMilliseconds
     0.15%  python3          libpython3.11.so.1.0          [.] _PyTrash_cond
     0.15%  python3          libpython3.11.so.1.0          [.] _PyTrash_end
     0.15%  python3          libpython3.11.so.1.0          [.] _Py_CheckFunctionResult@plt
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000139524
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000139578
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001396a0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001396f8
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000013d620
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000015234c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000015b7f0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001662e0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000177b0c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000177b2c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000017f3e8
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019a460
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019a464
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019a488
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019a4b0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000019d0fc
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a3c40
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a689c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a68c8
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001a7b40
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000021f9d0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000023d5a0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000023ed00
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240830
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240854
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240858
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000240878
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000257fc0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000002d74c0
     0.15%  queue0:src       [kernel.kallsyms]             [k] ___slab_alloc
     0.15%  queue0:src       [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.15%  queue0:src       [kernel.kallsyms]             [k] __mod_timer
     0.15%  queue0:src       [kernel.kallsyms]             [k] __video_do_ioctl
     0.15%  queue0:src       [kernel.kallsyms]             [k] alloc_fd
     0.15%  queue0:src       [kernel.kallsyms]             [k] arch_local_irq_restore
     0.15%  queue0:src       [kernel.kallsyms]             [k] arch_local_irq_save
     0.15%  queue0:src       [kernel.kallsyms]             [k] arch_sync_dma_for_device
     0.15%  queue0:src       [kernel.kallsyms]             [k] clk_core_unprepare
     0.15%  queue0:src       [kernel.kallsyms]             [k] el0_svc_common.constprop.0
     0.15%  queue0:src       [kernel.kallsyms]             [k] expand_files
     0.15%  queue0:src       [kernel.kallsyms]             [k] folio_mark_accessed
     0.15%  queue0:src       [kernel.kallsyms]             [k] free_pgd_range
     0.15%  queue0:src       [kernel.kallsyms]             [k] kmem_cache_alloc
     0.15%  queue0:src       [kernel.kallsyms]             [k] mas_empty_area_rev
     0.15%  queue0:src       [kernel.kallsyms]             [k] mas_is_span_wr
     0.15%  queue0:src       [kernel.kallsyms]             [k] mas_leaf_max_gap
     0.15%  queue0:src       [kernel.kallsyms]             [k] mas_next_entry
     0.15%  queue0:src       [kernel.kallsyms]             [k] radix_tree_delete_item
     0.15%  queue0:src       [kernel.kallsyms]             [k] rga_request_put
     0.15%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_is_stall_active
     0.15%  queue0:src       [kernel.kallsyms]             [k] sg_next
     0.15%  queue0:src       [kernel.kallsyms]             [k] strlen
     0.15%  queue0:src       [kernel.kallsyms]             [k] tlb_flush
     0.15%  queue0:src       [kernel.kallsyms]             [k] validate_page_before_insert
     0.15%  queue0:src       [kernel.kallsyms]             [k] vm_get_page_prot
     0.15%  queue0:src       [vdso]                        [.] __kernel_clock_gettime
     0.15%  queue0:src       libc.so.6                     [.] __libc_calloc
     0.15%  queue0:src       libc.so.6                     [.] 0x000000000009eb80
