# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 656  of event 'cpu-clock'
# Event count (approx.): 6626262560
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  .......................................
#
    13.57%  queue0:src       libc.so.6                         [.] 0x000000000009ddd4
    11.74%  queue0:src       [kernel.kallsyms]                 [k] rk_iommu_map
    11.43%  queue0:src       [kernel.kallsyms]                 [k] __pi_dcache_clean_poc
     9.91%  python3          libpython3.11.so.1.0              [.] _PyEval_EvalFrameDefault
     6.25%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __arch_copy_from_user
     3.05%  queue0:src       [kernel.kallsyms]                 [k] __pi_dcache_inval_poc
     1.83%  queue0:src       libc.so.6                         [.] 0x000000000009ddc4
     1.68%  queue0:src       libc.so.6                         [.] 0x000000000009ddc8
     1.37%  queue0:src       libc.so.6                         [.] 0x000000000009ddcc
     1.22%  queue0:src       [kernel.kallsyms]                 [k] unmap_page_range
     0.91%  queue0:src       [kernel.kallsyms]                 [k] folio_mark_accessed
     0.91%  queue0:src       [kernel.kallsyms]                 [k] try_grab_page
     0.76%  python3          libc.so.6                         [.] 0x000000000009ddd4
     0.76%  queue0:src       [kernel.kallsyms]                 [k] insert_page_into_pte_locked.isra.0
     0.76%  queue0:src       [kernel.kallsyms]                 [k] vm_insert_page
     0.61%  queue0:src       [kernel.kallsyms]                 [k] __mod_node_page_state
     0.61%  queue0:src       [kernel.kallsyms]                 [k] __vm_map_pages
     0.46%  mpp_mjpege_849   librockchip_mpp.so.0              [.] mpp_enc_thread
     0.46%  python3          libpython3.11.so.1.0              [.] PyLong_AsSsize_t
     0.46%  python3          libpython3.11.so.1.0              [.] PyObject_GetItem
     0.46%  python3          libpython3.11.so.1.0              [.] PyObject_Malloc
     0.46%  python3          libpython3.11.so.1.0              [.] PyObject_Vectorcall
     0.46%  python3          libpython3.11.so.1.0              [.] _PyLong_New
     0.46%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0d8
     0.46%  queue0:src       [kernel.kallsyms]                 [k] __get_user_pages
     0.46%  queue0:src       [kernel.kallsyms]                 [k] follow_pmd_mask
     0.46%  queue0:src       [kernel.kallsyms]                 [k] mas_wr_store_entry.isra.0
     0.46%  queue0:src       [kernel.kallsyms]                 [k] page_add_file_rmap
     0.46%  queue0:src       [kernel.kallsyms]                 [k] tlb_flush
     0.46%  queue0:src       libc.so.6                         [.] 0x000000000009ddc0
     0.30%  mppjpegenc0:src  [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.30%  python3          [kernel.kallsyms]                 [k] __arch_copy_to_user
     0.30%  python3          libc.so.6                         [.] strnlen
     0.30%  python3          libpython3.11.so.1.0              [.] PyBuffer_FillInfo
     0.30%  python3          libpython3.11.so.1.0              [.] PyLong_FromSsize_t
     0.30%  python3          libpython3.11.so.1.0              [.] PyNumber_AsSsize_t
     0.30%  python3          libpython3.11.so.1.0              [.] _PyArg_ParseTuple_SizeT
     0.30%  python3          libpython3.11.so.1.0              [.] 0x00000000001396f0
     0.30%  queue0:src       [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.30%  queue0:src       [kernel.kallsyms]                 [k] release_pages
     0.30%  queue0:src       libc.so.6                         [.] 0x000000000009dddc
     0.30%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_signal_emit_valist
     0.30%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_mini_object_unref
     0.30%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] 0x0000000000075ebc
     0.15%  mpp_mjpege_849   [kernel.kallsyms]                 [k] __kmem_cache_alloc_node
     0.15%  mpp_mjpege_849   [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.15%  mpp_mjpege_849   [kernel.kallsyms]                 [k] fpsimd_load_state
     0.15%  mpp_mjpege_849   [kernel.kallsyms]                 [k] iommu_dma_sync_single_for_device
     0.15%  mpp_mjpege_849   [kernel.kallsyms]                 [k] kthread_queue_work
     0.15%  mpp_mjpege_849   [kernel.kallsyms]                 [k] rkvenc_alloc_task
     0.15%  mpp_mjpege_849   librockchip_mpp.so.0              [.] vepu511_set_jpeg_reg@plt
     0.15%  mpp_mjpege_849   librockchip_mpp.so.0              [.] 0x0000000000042d88
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __folio_alloc
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __slab_free
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] clear_rseq_cs.isra.0
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] do_iter_write
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] get_unmapped_area
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] hrtimer_start_range_ns
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] strlcpy
     0.15%  mppjpegenc0:src  [kernel.kallsyms]                 [k] vm_normal_page
     0.15%  mppjpegenc0:src  libc.so.6                         [.] pthread_mutex_lock
     0.15%  mppjpegenc0:src  libc.so.6                         [.] 0x000000000005b2a8
