# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 597  of event 'cpu-clock'
# Event count (approx.): 6030302970
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  .........................................
#
    16.42%  queue0:src       libc.so.6                         [.] 0x000000000009ddd4
    13.07%  queue0:src       [kernel.kallsyms]                 [k] __pi_dcache_clean_poc
    10.55%  queue0:src       [kernel.kallsyms]                 [k] rk_iommu_map
     6.53%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __arch_copy_from_user
     3.85%  queue0:src       [kernel.kallsyms]                 [k] __pi_dcache_inval_poc
     2.68%  queue0:src       libc.so.6                         [.] 0x000000000009ddc4
     2.18%  queue0:src       libc.so.6                         [.] 0x000000000009ddc8
     2.18%  queue0:src       libc.so.6                         [.] 0x000000000009ddcc
     1.68%  queue0:src       [kernel.kallsyms]                 [k] try_grab_page
     1.17%  python3          libpython3.11.so.1.0              [.] _PyEval_EvalFrameDefault
     1.17%  queue0:src       [kernel.kallsyms]                 [k] __pi_clear_page
     1.01%  queue0:src       [kernel.kallsyms]                 [k] __mod_node_page_state
     1.01%  queue0:src       [kernel.kallsyms]                 [k] insert_page_into_pte_locked.isra.0
     1.01%  queue0:src       [kernel.kallsyms]                 [k] unmap_page_range
     1.01%  queue0:src       libc.so.6                         [.] 0x000000000009ddc0
     0.67%  mpp_mjpege_236   librockchip_mpp.so.0              [.] jpege_bits_put
     0.67%  mppjpegenc0:src  [kernel.kallsyms]                 [k] rk_iommu_unmap
     0.67%  python3          libc.so.6                         [.] 0x000000000009ddc8
     0.67%  python3          libc.so.6                         [.] 0x000000000009ddd4
     0.67%  python3          libpython3.11.so.1.0              [.] 0x00000000002ce4b4
     0.67%  queue0:src       [kernel.kallsyms]                 [k] __get_user_pages
     0.67%  queue0:src       [kernel.kallsyms]                 [k] folio_mark_accessed
     0.67%  queue0:src       [kernel.kallsyms]                 [k] follow_pmd_mask
     0.67%  queue0:src       [kernel.kallsyms]                 [k] vm_insert_page
     0.50%  queue0:src       [kernel.kallsyms]                 [k] get_page_from_freelist
     0.50%  queue0:src       [kernel.kallsyms]                 [k] release_pages
     0.50%  queue0:src       [kernel.kallsyms]                 [k] vm_normal_page
     0.34%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __free_pages_ok
     0.34%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x0000000000075f40
     0.34%  python3          [kernel.kallsyms]                 [k] process_backlog
     0.34%  python3          libpython3.11.so.1.0              [.] _PyType_Lookup
     0.34%  python3          libpython3.11.so.1.0              [.] 0x00000000002ce4a4
     0.34%  queue0:src       [kernel.kallsyms]                 [k] __kmem_cache_alloc_node
     0.34%  queue0:src       [kernel.kallsyms]                 [k] __slab_free
     0.34%  queue0:src       [kernel.kallsyms]                 [k] __vm_map_pages
     0.34%  queue0:src       [kernel.kallsyms]                 [k] page_add_file_rmap
     0.34%  queue0:src       [kernel.kallsyms]                 [k] page_remove_rmap
     0.34%  queue0:src       [kernel.kallsyms]                 [k] rcu_all_qs
     0.34%  queue0:src       [kernel.kallsyms]                 [k] sg_alloc_append_table_from_pages
     0.34%  queue0:src       libc.so.6                         [.] 0x000000000009dddc
     0.34%  queue0:src       libglib-2.0.so.0.7600.1           [.] g_hash_table_lookup
     0.17%  mpp_mjpege_236   [kernel.kallsyms]                 [k] finish_task_switch.isra.0
     0.17%  mpp_mjpege_236   [kernel.kallsyms]                 [k] mpp_translate_reg_address
     0.17%  mpp_mjpege_236   [kernel.kallsyms]                 [k] rk_iommu_map
     0.17%  mpp_mjpege_236   [kernel.kallsyms]                 [k] rkvenc_alloc_task
     0.17%  mpp_mjpege_236   [kernel.kallsyms]                 [k] system_heap_attach
     0.17%  mpp_mjpege_236   [kernel.kallsyms]                 [k] ww_mutex_lock
     0.17%  mpp_mjpege_236   librockchip_mpp.so.0              [.] mpp_data_get_pre_val_v2
     0.17%  mpp_mjpege_236   librockchip_mpp.so.0              [.] mpp_enc_hal_start
     0.17%  mpp_mjpege_236   librockchip_mpp.so.0              [.] mpp_enc_thread
     0.17%  mpp_mjpege_236   librockchip_mpp.so.0              [.] 0x0000000000052440
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] ___slab_alloc
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __mark_inode_dirty
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] __mnt_drop_write_file
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] dma_buf_unmap_attachment
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] futex_wake_mark
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] get_page_from_freelist
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] jbd2_journal_dirty_metadata
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] remap_pfn_range_internal
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] stop_this_handle
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] system_heap_mmap
     0.17%  mppjpegenc0:src  [kernel.kallsyms]                 [k] vma_set_page_prot
     0.17%  mppjpegenc0:src  libc.so.6                         [.] getenv
     0.17%  mppjpegenc0:src  libc.so.6                         [.] syscall
     0.17%  mppjpegenc0:src  libc.so.6                         [.] 0x0000000000051b00
     0.17%  mppjpegenc0:src  libc.so.6                         [.] 0x0000000000085810
     0.17%  mppjpegenc0:src  libc.so.6                         [.] 0x000000000008f914
     0.17%  mppjpegenc0:src  libc.so.6                         [.] 0x00000000000929a0
     0.17%  mppjpegenc0:src  libc.so.6                         [.] 0x0000000000092a00
     0.17%  mppjpegenc0:src  libglib-2.0.so.0.7600.1           [.] g_hash_table_lookup
     0.17%  mppjpegenc0:src  libglib-2.0.so.0.7600.1           [.] g_list_nth_data
     0.17%  mppjpegenc0:src  libgobject-2.0.so.0.7600.1        [.] g_type_check_value
     0.17%  mppjpegenc0:src  libgstbase-1.0.so.0.2411.0        [.] 0x000000000003c36c
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] gst_mini_object_make_writable
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] gst_mini_object_unref
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] gst_pad_push_event
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] gst_segment_to_stream_time
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000803c4
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x0000000000080a20
     0.17%  mppjpegenc0:src  libgstvideo-1.0.so.0.2411.0       [.] 0x0000000000039600
     0.17%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_frame_has_meta
     0.17%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_thread_signal@plt
     0.17%  mppjpegenc0:src  librockchip_mpp.so.0              [.] 0x000000000006fc9c
     0.17%  python3          [kernel.kallsyms]                 [k] __alloc_skb
     0.17%  python3          [kernel.kallsyms]                 [k] __arch_copy_to_user
     0.17%  python3          [kernel.kallsyms]                 [k] __arm64_sys_read
     0.17%  python3          [kernel.kallsyms]                 [k] __fget_light
     0.17%  python3          [kernel.kallsyms]                 [k] __netif_receive_skb_core
     0.17%  python3          [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.17%  python3          [kernel.kallsyms]                 [k] fpsimd_load_state
     0.17%  python3          [kernel.kallsyms]                 [k] kmalloc_size_roundup
     0.17%  python3          [kernel.kallsyms]                 [k] task_fpsimd_load
     0.17%  python3          [kernel.kallsyms]                 [k] tcp_ack
     0.17%  python3          [kernel.kallsyms]                 [k] tcp_sendmsg_locked
     0.17%  python3          libc.so.6                         [.] malloc
     0.17%  python3          libc.so.6                         [.] 0x000000000009ddc4
     0.17%  python3          libc.so.6                         [.] 0x000000000009ddcc
     0.17%  python3          libpython3.11.so.1.0              [.] PyBytes_FromStringAndSize
     0.17%  python3          libpython3.11.so.1.0              [.] PyLong_AsLongLong
     0.17%  python3          libpython3.11.so.1.0              [.] PyObject_Malloc
     0.17%  python3          libpython3.11.so.1.0              [.] PyObject_Size
     0.17%  python3          libpython3.11.so.1.0              [.] _PyTime_GetMonotonicClockWithInfo@plt
     0.17%  python3          libpython3.11.so.1.0              [.] 0x0000000000143700
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000001522c0
     0.17%  python3          libpython3.11.so.1.0              [.] 0x0000000000165394
     0.17%  python3          libpython3.11.so.1.0              [.] 0x000000000016635c
     0.17%  python3          libpython3.11.so.1.0              [.] 0x0000000000177c90
     0.17%  python3          libpython3.11.so.1.0              [.] 0x000000000017cfc0
     0.17%  python3          libpython3.11.so.1.0              [.] 0x000000000019c554
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000002cbe20
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000002cbe2c
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000002cbe68
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000002cbe70
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000002ce4ac
     0.17%  python3          libpython3.11.so.1.0              [.] 0x00000000002ce4b0
     0.17%  queue0:src       [kernel.kallsyms]                 [k] ___slab_alloc
     0.17%  queue0:src       [kernel.kallsyms]                 [k] __fget_light
     0.17%  queue0:src       [kernel.kallsyms]                 [k] __pm_runtime_idle
     0.17%  queue0:src       [kernel.kallsyms]                 [k] __tlb_remove_page_size
     0.17%  queue0:src       [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.17%  queue0:src       [kernel.kallsyms]                 [k] dma_buf_ioctl
     0.17%  queue0:src       [kernel.kallsyms]                 [k] dma_direct_map_sg
     0.17%  queue0:src       [kernel.kallsyms]                 [k] do_mas_munmap
     0.17%  queue0:src       [kernel.kallsyms]                 [k] down_write
     0.17%  queue0:src       [kernel.kallsyms]                 [k] el0_svc_common.constprop.0
     0.17%  queue0:src       [kernel.kallsyms]                 [k] folio_batch_move_lru
     0.17%  queue0:src       [kernel.kallsyms]                 [k] free_pgd_range
     0.17%  queue0:src       [kernel.kallsyms]                 [k] free_swap_cache
     0.17%  queue0:src       [kernel.kallsyms]                 [k] futex_hash
     0.17%  queue0:src       [kernel.kallsyms]                 [k] idr_alloc_cyclic
     0.17%  queue0:src       [kernel.kallsyms]                 [k] iommu_dma_map_sg
     0.17%  queue0:src       [kernel.kallsyms]                 [k] iommu_dma_sync_sg_for_device
     0.17%  queue0:src       [kernel.kallsyms]                 [k] kmem_cache_free_bulk.part.0
     0.17%  queue0:src       [kernel.kallsyms]                 [k] lock_timer_base
     0.17%  queue0:src       [kernel.kallsyms]                 [k] mark_page_accessed
     0.17%  queue0:src       [kernel.kallsyms]                 [k] mas_wr_store_entry.isra.0
     0.17%  queue0:src       [kernel.kallsyms]                 [k] pmd_install
     0.17%  queue0:src       [kernel.kallsyms]                 [k] rga2_set_reg
     0.17%  queue0:src       [kernel.kallsyms]                 [k] rga_mm_map_buffer
