# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 226  of event 'cpu-clock'
# Event count (approx.): 2282828260
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
    16.37%  mppjpegenc0:src  [kernel.kallsyms]             [k] __arch_copy_from_user
     9.29%  mppjpegenc0:src  [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     4.42%  python3          libpython3.11.so.1.0          [.] _PyEval_EvalFrameDefault
     2.65%  queue0:src       [kernel.kallsyms]             [k] __pi_clear_page
     2.21%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_inval_poc
     1.77%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4b4
     1.33%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4b0
     1.33%  queue0:src       [kernel.kallsyms]             [k] __pi_dcache_clean_poc
     0.88%  mpp_mjpege_233   [kernel.kallsyms]             [k] rk_iommu_map
     0.88%  mppjpegenc0:src  [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.88%  mppjpegenc0:src  libc.so.6                     [.] cfree
     0.88%  mppjpegenc0:src  libgobject-2.0.so.0.7600.1    [.] g_type_check_instance_is_fundamentally_a
     0.88%  mppjpegenc0:src  librockchip_mpp.so.0          [.] mpp_ops_enc_get_pkt
     0.88%  python3          [kernel.kallsyms]             [k] __arch_copy_from_user
     0.88%  python3          [kernel.kallsyms]             [k] __arch_copy_to_user
     0.88%  python3          libc.so.6                     [.] 0x000000000009ddd4
     0.88%  python3          libpython3.11.so.1.0          [.] 0x000000000019d0dc
     0.88%  queue0:src       [kernel.kallsyms]             [k] rpm_resume
     0.44%  mpp_mjpege_233   [kernel.kallsyms]             [k] __fdget
     0.44%  mpp_mjpege_233   [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.44%  mpp_mjpege_233   [kernel.kallsyms]             [k] __sg_alloc_table
     0.44%  mpp_mjpege_233   [kernel.kallsyms]             [k] mpp_query_reg_offset_info
     0.44%  mpp_mjpege_233   [kernel.kallsyms]             [k] mpp_task_attach_fd
     0.44%  mpp_mjpege_233   [kernel.kallsyms]             [k] sg_next
